priority,doc_id,page,page_count,tlq,lexical_quality,garbage_score,dict_hit,typo_ratio,oov_hard,route,lang_hint,char_count,sample_bad_tokens,source_path
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,566,572,0.9088,0.0606,0.9393939393939394,0.0606,0.9394,0.9394,ocr,en,782,inadvat|aukis|nuiisia4|afrms|Mhdwof44w|ubmil|raw6ra|RVoWor,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,572,572,0.986,0.0768,0.923235294117647,0.0588,0.9118,0.9118,ocr,en,2955,ItMMS|Teatsi|Gater-|CItie|Inttets|Asm-tS1|helela|hupme-S,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,552,572,0.9879,0.0951,0.9049152542372881,0.0847,0.8983,0.8983,ocr,en,1875,UwIlAP|rinaw|wdkplt|aupeh|asabaic|W6lii/br|Qmrauu-|Csshk,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,557,572,0.9859,0.1143,0.8857142857142857,0.1143,0.8857,0.8857,ocr,en,1256,CAXUaM|dbusajs|iiukiuugg440|pftbt|awimic|aminW|UHiF/VHF|bywha,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,467,572,0.9876,0.1241,0.8759174311926605,0.1101,0.867,0.867,ocr,en,3544,WMCaa|dMMiUi|Commlhs|evidw|amliua|Omwof|wetin|oftht,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,KT-160G_14G условия эксплуатации и окружающей среды,43,438,0.8931,0.1389,0.8611111111111112,0.1389,0.8611,0.8611,ocr,ru,733,Давлен|окружающеn|СDСдЫ|Оборудован11е|фyнKUJIOHIIpyeт|Тест11рованне|Давлсшrс|эквrrвалент,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\KT-160G_14G условия эксплуатации и окружающей среды.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,570,572,0.9872,0.1584,0.8416417910447761,0.1493,0.8358,0.8358,ocr,en,1469,Vbnigmmee|UftKY|dufta|Ptabws|hiadhif|ow-IgJ|ostrsd|Cobsil,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,556,572,0.9872,0.1622,0.837752808988764,0.1348,0.8202,0.8202,ocr,en,2083,WDEXd|Cesd7-d|iecic|OWLut|pulctlewlo|elmiomawn|inetallation|blede,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,KT-160G_14G условия эксплуатации и окружающей среды,44,438,0.8916,0.1667,0.8333333333333334,0.1667,0.8333,0.8333,ocr,ru,658,Оборудованне|функuноннрует|Тестированне|Давленне|окружающеn|Прrшечатт|IIЗЛteuemm|давлеиия,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\KT-160G_14G условия эксплуатации и окружающей среды.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,472,572,0.9876,0.1844,0.8155665024630542,0.1724,0.8079,0.8079,ocr,en,3935,bfeieuw|reakeL|maisred|inimA|dspwdt|wkhei|einombap|fabrW,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,KT-160G_14G условия эксплуатации и окружающей среды,42,438,0.9011,0.1944,0.8055555555555556,0.1944,0.8056,0.8056,ocr,ru,539,Давлен|окружающеn|Дnвле1111е|эквнвалент|мnкснмальной|эксплуnташюшюn|Оборудованне|функшюннрует,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\KT-160G_14G условия эксплуатации и окружающей среды.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,462,572,0.9855,0.197,0.803030303030303,0.197,0.803,0.803,ocr,en,1339,naacS|HbeLC|i4ioArmHo|etaDW|MrVAwwyK|Cowmnaic|Leeis|HavtL,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,555,572,0.988,0.2367,0.7632885906040269,0.2081,0.745,0.745,ocr,en,2623,Couti-ed|ecatne|Muwtia|vulnearbility|Annuuling|falur|anals-sk|Anodizng,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,186,572,0.9878,0.2534,0.7465625,0.2344,0.7344,0.7344,ocr,en,1041,dispaiibl|ekintrt|boicoerstmnral|wicnitofn|ovjoaanc|rascnb|aedan|aidroeft-,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,473,572,0.9877,0.26,0.7400432900432901,0.2468,0.7316,0.7316,ocr,en,3987,wiemp|gheamsn|pniiuffalaed|Goadiuions|GOmidwei|keseam|TurfMpsy|hadiua,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,558,572,0.9872,0.2668,0.7332484076433121,0.2357,0.7134,0.7134,ocr,en,2596,Lontdme|Elauiomewww|couplin|miaft|Elastomneric|materils|oinknctk|coatporcuss,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,275,572,0.9863,0.2691,0.7309375,0.25,0.7188,0.7188,ocr,en,2321,nbotei|vahsiwg|trota|rwkkr|intnedyi|rtAiI|ZXIWof|roqsirdc,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,283,572,0.9864,0.2696,0.7304382470119521,0.255,0.7211,0.7211,ocr,en,4270,gadidias|auupamuy|ouzpk7|aixoss|oreams|aabhahaqol|buakk|qlamaeliusal,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,474,572,0.9878,0.2803,0.7196744186046511,0.2605,0.707,0.707,ocr,en,3760,imuNSJ|bkffl9|Vuiem|Prookift|behimpar|diuihe|tufto|kewmM,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,378,572,0.9047,0.2857,0.7142857142857143,0.2857,0.7143,0.7143,ocr,en,847,minicauam|foice|ibfwav3|vaive|opnwia|aauion|uignifi-|hammW,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
veto,US_Army_Materiel_Command_Engineering_Design_Handbook,461,572,0.988,0.2896,0.7103643724696356,0.2551,0.6883,0.6883,ocr,en,4422,Mmoabu|ihions|GdpOui-|COMMeerkva|tiwly|heiat|dmuld|tamblih,C:\Users\l.ilyintseva\Desktop\RAG-system\data\raw\US_Army_Materiel_Command_Engineering_Design_Handbook.pdf
